,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
253,2018 EQ900L,V8,자연흡기,가솔린,"5,038cc",425hp,53kg.m,"복합 7.2km/ℓ 도심 6km/ℓ, 고속 9.4km/ℓ",239g/km,"5,495mm / 1,915mm","1,505mm / 3,450mm","1,640mm / 1,639mm","2,290kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
254,2025 BMW X3,I4,싱글터보,가솔린,"1,998cc",190hp,31.6kg.m,"복합 10.9km/ℓ 도심 10km/ℓ, 고속 12.4km/ℓ",153g/km,"4,755mm / 1,920mm","1,660mm / 2,865mm",,"1,950kg",245~255mm / 45~50 / 19~20inch,245~285mm / 40~50 / 19~20inch,상시사륜 구동,자동8단,더블 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,215km/h,8.5초
255,2007 렉서스 LS,V8,자연흡기,가솔린,"4,608cc",380hp,51.7kg.m,"복합 8.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"5,030mm / 1,875mm","1,465mm / 2,970mm","1,615mm / 1,620mm","1,925kg",235mm / 50 / 18inch,235mm / 50 / 18inch,앞엔진 후륜 구동,자동8단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,5.7초
256,2025 K5 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,"복합 18.8~19.8km/ℓ 도심 18.7~19.7km/ℓ, 고속 18.9~19.8km/ℓ",79~84g/km,"4,905mm / 1,860mm","1,445mm / 2,850mm","1,623~1,633mm / 1,630~1,640mm","1,515~1,535kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
257,2025 스포티지 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 235hp,27kg.m 합산 35.7kg.m,"복합 15.6~16.3km/ℓ 도심 16.2~16.9km/ℓ, 고속 14.8~15.5km/ℓ",98~102g/km,"4,685mm / 1,865mm","1,660~1,680mm / 2,755mm","1,615~1,620mm / 1,622~1,627mm","1,650~1,685kg",235mm / 55~65 / 17~19inch,235mm / 55~65 / 17~19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
258,2009 SM5,I4 2.0 CVTC,,가솔린,"1,998cc",143hp,20kg.m,"복합 11km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",212g/km,"4,905mm / 1,787mm","1,475mm / 2,775mm","1,540mm / 1,545mm","1,470kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
259,2024 렉서스 UX 하이브리드,I4,자연흡기,가솔린,"1,987cc",146hp 합산 183hp,19.2kg.m,"복합 16.7km/ℓ 도심 17.2km/ℓ, 고속 16.2km/ℓ",93g/km,"4,495mm / 1,840mm","1,520mm / 2,640mm","1,560mm / 1,560mm","1,605kg",215mm / 60 / 17inch,215mm / 60 / 17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,더블 위시본,V디스크,V디스크,랙 앤 피니언,,,,,,,
260,2012 BMW Z4,I6,트윈터보,가솔린,"2,979cc",340hp,45.9kg.m,"복합 9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",239g/km,"4,239mm / 1,790mm","1,291mm / 2,496mm","1,511mm / 1,537mm","1,525kg",225mm / 35 / 19inch,255mm / 30 / 19inch,앞엔진 후륜 구동,자동7단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.8초
261,2007 렉서스 ES,V형 6기통,,가솔린,"3,456cc",277hp,35.3kg.m,"복합 9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,860mm / 1,820mm","1,450mm / 2,775mm","1,575mm / 1,565mm","1,995kg",215mm / 55 / 17inch,215mm / 55 / 17inch,"앞엔진 후륜 구동, 앞엔진 전륜 구동",자동6단,맥퍼슨 스트럿,맥퍼슨 스트럿,V디스크,V디스크,랙 앤 피니언,,,,,,,
262,1991 엑셀,1.5 SOHC,,가솔린,"1,468~1,500cc",85~104hp,0~14.3kg.m,"복합 13.6~15.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"3,985mm / 1,595mm","1,380mm / 2,380mm","1,375mm / 1,340mm",,,,앞엔진 전륜 구동,"수동4단, 자동4단",,,0,0,0,,,,,,0~185km/h,
263,2017 EQ900L,V8,자연흡기,가솔린,"5,038cc",425hp,53kg.m,"복합 7.2km/ℓ 도심 6km/ℓ, 고속 9.4km/ℓ",239g/km,"5,495mm / 1,915mm","1,505mm / 3,450mm","1,640mm / 1,639mm","2,290kg",245mm / 45 / 19inch,275mm / 40 / 19inch,상시사륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
264,2022 모닝,I3,자연흡기,가솔린,998cc,76hp,9.7kg.m,"복합 15.7km/ℓ 도심 14.4km/ℓ, 고속 17.6km/ℓ",104g/km,"3,595mm / 1,595mm","1,485mm / 2,400mm","1,406mm / 1,415mm",910kg,175mm / 65 / 14inch,175mm / 65 / 14inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,토션빔,디스크,드럼,랙 앤 피니언,,,,,,,
265,2009 쏘울,1.6 CVVT,,가솔린,"1,591cc",124hp,15.9kg.m,"복합 15~15.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",148~169g/km,"4,105mm / 1,785mm","1,610~1,660mm / 2,550mm","1,570mm / 1,575mm","1,170~1,190kg",195~205mm / 55~65 / 15~16inch,195~205mm / 55~65 / 15~16inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,V디스크,"드럼,디스크",랙 앤 피니언,,,,,,,
266,2024 메르세데스-벤츠 GLB,I4,싱글터보,디젤,"1,950cc",150hp,32.6kg.m,"복합 14.2km/ℓ 도심 13km/ℓ, 고속 16km/ℓ",133g/km,"4,640mm / 1,835mm","1,700mm / 2,830mm",,"1,805kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,DCT8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,204km/h,9.2초
267,2022 메르세데스-벤츠 CLS,I4,,디젤,"1,993cc",265hp,56.1kg.m,"복합 13.9km/ℓ 도심 12.6km/ℓ, 고속 15.9km/ℓ",137g/km,"4,995mm / 1,895mm","1,430mm / 2,940mm","1,618mm / 1,634mm","1,915kg",245mm / 40 / 19inch,275mm / 35 / 19inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.4초
268,2024 포터2,l4,싱글터보,LPG,"2,469cc",138~159hp,26~30kg.m,"복합 6.5~7km/ℓ 도심 6.1~6.7km/ℓ, 고속 7.1~7.4km/ℓ",188~205g/km,"5,100~5,155mm / 1,740mm","1,970mm / 2,640mm","1,485mm / 1,320mm","1,675~1,705kg",195mm / 70 / 15inch,145mm / 0 / 13inch,앞엔진 후륜 구동,"수동6단, 자동5단",,,,,,,,,,,,
269,2010 렉서스 GS,V6,,가솔린,"3,456cc",307hp,37.9kg.m,"복합 10.3km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",227g/km,"4,850mm / 1,820mm","1,425mm / 2,850mm","1,535mm / 1,540mm","1,710kg",225mm / 50 / 17inch,225mm / 50 / 17inch,앞엔진 후륜 구동,자동6단,더블위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
270,2026 아이오닉 6,,,전기,,,,"복합 6.3km/kWh 도심 6.8km/kWh, 고속 5.7km/kWh",,"4,925mm / 1,880mm","1,495mm / 2,950mm","1,635mm / 1,644mm","1,825kg",225mm / 55 / 18inch,225mm / 55 / 18inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,125kW167.6hp (단순환산치),350Nm35.7kg.m (단순환산치),437km,63kWh,리튬 이온,,
271,2006 메르세데스-AMG CLS,V형 8기통,,가솔린,"5,439cc",476hp,71.4kg.m,"복합 6.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,910mm / 1,875mm","1,405mm / 2,855mm","1,595mm / 1,605mm","1,845kg",255mm / 35 / 19inch,285mm / 30 / 19inch,앞엔진 후륜 구동,자동5단,4링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,4.7초
272,2023 테슬라 모델 S,,,전기,,,,"복합 4.8km/kWh 도심 5km/kWh, 고속 4.6km/kWh",,"5,021mm / 1,987mm","1,431mm / 2,960mm","1,690mm / 1,690mm","2,070kg",245mm / 45 / 19inch,245mm / 45 / 19inch,상시사륜 구동,자동1단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,500kW670.5hp (단순환산치),,555km,100kWh,리튬 이온,240km/h,3.2초
273,2021 스팅어,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,"복합 10.8~11.2km/ℓ 도심 9.7~9.8km/ℓ, 고속 12.4~13.4km/ℓ",151~156g/km,"4,830mm / 1,870mm","1,400mm / 2,905mm","1,596mm / 1,619~1,647mm","1,690~1,705kg",225mm / 40~45 / 18~19inch,225~255mm / 35~45 / 18~19inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
274,2013 에쿠스 리무진 ,V6 3.8,자연흡기,가솔린,"3,778cc",334hp,40.3kg.m,"복합 8.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",214g/km,"5,460mm / 1,900mm","1,490mm / 3,345mm","1,620mm / 1,627mm","2,065kg",245mm / 45 / 19inch,275mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
275,2023 셀토스,I4,싱글터보,가솔린,"1,598cc",198hp,27kg.m,"복합 11.8~12.8km/ℓ 도심 10.6~11.5km/ℓ, 고속 13.5~14.6km/ℓ",130~142g/km,"4,390mm / 1,800mm","1,600~1,620mm / 2,630mm","1,560~1,575mm / 1,568~1,584mm","1,360~1,405kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,CTBA,디스크,디스크,랙 앤 피니언,,,,,,,
276,2020 K9,V6,트윈터보,가솔린,"3,342cc",370hp,52kg.m,"복합 8.7km/ℓ 도심 7.4km/ℓ, 고속 10.9km/ℓ",199g/km,"5,120mm / 1,915mm","1,490mm / 3,105mm","1,639mm / 1,639mm","2,015kg",245mm / 45 / 19inch,275mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,멀티 링크,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
277,2009 쏘렌토,2.0 E-VGT,,디젤,"1,995cc",184hp,40kg.m,"복합 15km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",179g/km,"4,685mm / 1,885mm","1,710mm / 2,700mm","1,618mm / 1,621mm","1,800kg",235mm / 60~65 / 17~18inch,235mm / 60~65 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크 코일스프링,디스크,디스크,랙 앤 피니언,,,,,,,
278,2025 쏘나타 하이브리드,I4,자연흡기,가솔린,"1,999cc",152hp 합산 195hp,19.2kg.m,"복합 17.1~19.4km/ℓ 도심 16.8~19.8km/ℓ, 고속 17.4~18.9km/ℓ",81~93g/km,"4,910mm / 1,860mm","1,445mm / 2,840mm","1,618~1,633mm / 1,625~1,640mm","1,550~1,585kg",205~235mm / 45~65 / 16~18inch,205~235mm / 45~65 / 16~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티 링크,V디스크,디스크,랙 앤 피니언,,,,,,,
279,2023 BMW 3시리즈 투어링,I4,싱글터보,가솔린,"1,998cc",184hp,30.6kg.m,"복합 10.8km/ℓ 도심 9.5km/ℓ, 고속 13km/ℓ",155g/km,"4,715mm / 1,825mm","1,440mm / 2,850mm","1,573mm / 1,568mm","1,740kg",225mm / 40~50 / 17~19inch,225~255mm / 35~50 / 17~19inch,앞엔진 후륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,230km/h,7.6초
280,2014 쏘렌토,I4 2.0,싱글터보,디젤,"1,995cc",184hp,41kg.m,"복합 14.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",137g/km,"4,685mm / 1,885mm","1,745mm / 2,700mm","1,621mm / 1,618mm","1,776kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
281,2017 K9,V6 3.3,자연흡기,가솔린,"3,342cc",300hp,35.5kg.m,"복합 8.6~8.7km/ℓ 도심 7.3~7.4km/ℓ, 고속 10.9~11km/ℓ",195~197g/km,"5,095mm / 1,900mm","1,490mm / 3,045mm",,"1,920~1,935kg",245mm / 45~50 / 18~19inch,245~275mm / 40~50 / 18~19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
282,2011 K5 하이브리드,L4 2.0 누우(ν),,가솔린,"1,999cc",150hp 합산 191hp,18.3kg.m,"복합 21km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",111g/km,"4,845mm / 1,835mm","1,455mm / 2,795mm","1,595~1,601mm / 1,595~1,601mm","1,570kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,디스크,랙 앤 피니언,,,,,,,
283,2019 쏘렌토,l4,싱글터보,디젤,"1,995cc",186hp,41kg.m,"복합 12~13.8km/ℓ 도심 11.1~12.7km/ℓ, 고속 13.4~15.4km/ℓ",138~160g/km,"4,800mm / 1,890mm","1,685~1,690mm / 2,780mm","1,628mm / 1,639mm","1,825~1,915kg",235mm / 55~60 / 18~19inch,235mm / 55~60 / 18~19inch,"앞엔진 전륜 구동, 상시사륜 구동",자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
284,2026 GV70,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,"복합 10.2km/ℓ 도심 8.9km/ℓ, 고속 12.5km/ℓ",164g/km,"4,715mm / 1,910mm","1,630mm / 2,875mm","1,651mm / 1,667mm","1,865kg",235mm / 60 / 18inch,235mm / 60 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
285,2025 BMW 1시리즈,I4,싱글터보,가솔린,"1,998cc",201hp,30.6kg.m,"복합 12km/ℓ 도심 10.6km/ℓ, 고속 14.3km/ℓ",140g/km,"4,360mm / 1,800mm","1,460mm / 2,670mm","1,559mm / 1,560mm","1,535kg",205~225mm / 45~55 / 17~18inch,205~225mm / 45~55 / 17~18inch,앞엔진 전륜 구동,DCT7단,싱글 조인트 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,246km/h,7.2초
286,2010 SM7,Neo VQ23 V형 6기통,,가솔린,"2,349cc",170hp,23kg.m,"복합 9.8km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",239g/km,"4,950mm / 1,785mm","1,475mm / 2,775mm","1,540mm / 1,545mm","1,565kg",205~215mm / 55~65 / 16~17inch,205~215mm / 55~65 / 16~17inch,앞엔진 전륜 구동,자동5단,맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
287,2023 메르세데스-EQ EQE SUV,,,전기,,,,"복합 3.8km/kWh 도심 0km/kWh, 고속 0km/kWh",,"4,865mm / 1,940mm","1,685mm / 3,030mm","1,649mm / 1,662mm","2,510kg",255mm / 45 / 20inch,255mm / 45 / 20inch,상시사륜 구동,자동1단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,215kW288.3hp (단순환산치),765Nm78.0kg.m (단순환산치),404km,88.4kWh,리튬 이온,210km/h,6.6초
288,2013 엑센트,I4 1.4,자연흡기,가솔린,"1,368~1,396cc",100~108hp,13.6~13.9kg.m,"복합 13.3~15km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",113~129g/km,"4,370mm / 1,705mm","1,455mm / 2,570mm","1,488~1,506mm / 1,493~1,511mm","1,035~1,060kg",175~195mm / 50~70 / 14~16inch,175~195mm / 50~70 / 14~16inch,앞엔진 전륜 구동,"수동6단, 자동4단",맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
289,2007 메르세데스-벤츠 SL,V형 8기통,,가솔린,"5,461cc",388hp,54kg.m,"복합 7.7km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,535mm / 1,815mm","1,298mm / 2,560mm","1,559mm / 1,547mm","1,890kg",255mm / 40 / 18inch,255mm / 40 / 18inch,앞엔진 후륜 구동,자동7단,4링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,5.4초
290,2011 BMW 3시리즈,4기통 디젤,,디젤,"1,995cc",163~200hp,35.7~42.9kg.m,"복합 15.9~24.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",0~169g/km,"4,531mm / 1,817mm","1,421mm / 2,760mm","1,506mm / 1,535mm","0~1,520kg",205~225mm / 35~55 / 16~19inch,205~255mm / 30~55 / 16~19inch,앞엔진 후륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,228~233km/h,7.3~8초
291,2002 옵티마,"DOHC, 직렬4기통 DOHC",,가솔린,"1,997cc",133~138hp,18.1~18.4kg.m,"복합 12.6~14.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,745mm / 1,815mm","1,420mm / 2,700mm","1,540mm / 1,530mm","1,405~1,420kg",205mm / 60 / 15inch,205mm / 60 / 15inch,앞엔진 전륜 구동,"수동5단, 자동4단",더블 위시본,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,195~207km/h,
292,2022 QM6,I4,자연흡기,가솔린,"1,997cc",144hp,20.4kg.m,"복합 11.6~12km/ℓ 도심 10.6~11.1km/ℓ, 고속 13.1~13.5km/ℓ",140~146g/km,"4,675mm / 1,845mm","1,670mm / 2,705mm","1,595mm / 1,590mm","1,535~1,570kg",225mm / 55~65 / 17~19inch,225mm / 55~65 / 17~19inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
293,2012 렉서스 IS F 스포츠 ,V6 2.5,,가솔린,"2,499cc",207hp,25.5kg.m,"복합 10km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",177g/km,"4,580mm / 1,800mm","1,425mm / 2,730mm","1,535mm / 1,535mm","1,630kg",225mm / 40 / 18inch,255mm / 40 / 18inch,앞엔진 후륜 구동,자동6단,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
294,2009 에쿠스 리무진,V형 6기통 람다 3.8,,가솔린,"3,778cc",290hp,36.5kg.m,"복합 9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",259g/km,"5,460mm / 1,900mm","1,495mm / 3,345mm","1,620mm / 1,627mm","2,040kg",245mm / 45 / 19inch,275mm / 45 / 19inch,앞엔진 후륜 구동,자동6단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,,
295,1999 BMW M5,V8,자연흡기,가솔린,"4,941cc",400hp,50.9kg.m,,,"4,784mm / 1,800mm","1,435mm / 2,830mm","1,515mm / 1,527mm","1,695kg",245mm / 40 / 18inch,275mm / 35 / 18inch,앞엔진 후륜 구동,수동6단,더블 위시본,멀티 암,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,5.3초
296,2005 쏘렌토,커먼레일,,디젤,"2,497cc",145hp,36kg.m,"복합 11.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,570mm / 1,885mm","1,735mm / 2,710mm","1,580mm / 1,580mm",,245mm / 70 / 16inch,245mm / 70 / 6inch,사륜 구동,수동5단,더블 위시본,5링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,171km/h,
297,2018 코나 일렉트릭,,,전기,,,,"복합 5.6km/kWh 도심 6.2km/kWh, 고속 5km/kWh",,"4,180mm / 1,800mm","1,570mm / 2,600mm","1,564mm / 1,575mm","1,685kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,자동,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,150kW201.2hp (단순환산치),395Nm40.3kg.m (단순환산치),406km,64kWh,리튬 이온 폴리머,,
298,2007 트라제XG,I4 2.0 VGT,,디젤,"1,991cc",126hp,29.5kg.m,"복합 11km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,695mm / 1,840mm","1,710mm / 2,830mm","1,565mm / 1,585mm","1,907kg",215mm / 60~65 / 15~16inch,215mm / 60~65 / 15~16inch,앞엔진 전륜 구동,자동4단,맥퍼슨 스트럿,세미트레일링 암,디스크,디스크,랙 앤 피니언,,,,,,,
299,2024 포터2 일렉트릭,,,전기,,,,"복합 3.1km/kWh 도심 3.6km/kWh, 고속 2.7km/kWh",,"5,105mm / 1,740mm","1,970mm / 2,810mm","1,485mm / 1,320mm","1,940kg",195mm / 70 / 15inch,145mm / 0 / 13inch,뒤엔진 후륜 구동,자동1단,,,디스크,디스크,랙 앤 피니언,135kW181.0hp (단순환산치),395Nm40.3kg.m (단순환산치),211km,58.8kWh,리튬 이온,,
300,2008 투스카니,β-2.0 VVT,,가솔린,"1,975cc",143hp,19kg.m,"복합 11.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,395mm / 1,760mm","1,330mm / 2,530mm","1,490mm / 1,490mm","1,331kg",195mm / 65 / 15inch,195mm / 65 / 15inch,앞엔진 전륜 구동,수동5단,멀티링크 코일스프링,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
301,2013 SM3,I4 1.6,,가솔린,"1,598cc",117hp,16.1kg.m,"복합 15km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",114g/km,"4,620mm / 1,810mm","1,480mm / 2,700mm","1,545mm / 1,565mm","1,250kg",205mm / 55~65 / 15~17inch,205mm / 55~65 / 15~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
302,2015 에쿠스 리무진,V8 직분사,자연흡기,가솔린,"5,038cc",416hp,52kg.m,"복합 7.4km/ℓ 도심 6.3km/ℓ, 고속 9.4km/ℓ",244g/km,"5,460mm / 1,900mm","1,495mm / 3,345mm","1,620mm / 1,627mm","2,150kg",245mm / 45 / 19inch,275mm / 40 / 19inch,앞엔진 후륜 구동,자동8단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
303,2025 카니발 하이리무진,I4,싱글터보,디젤,"2,151cc",194hp,45kg.m,"복합 11.7km/ℓ 도심 10.4km/ℓ, 고속 13.7km/ℓ",165g/km,"5,155mm / 1,995mm","2,045mm / 3,090mm","1,741mm / 1,741mm","2,210kg",235mm / 55 / 19inch,235mm / 55 / 19inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
304,2019 K7 하이브리드,l4,자연흡기,가솔린,"2,359cc",159hp,21kg.m,"복합 16.2km/ℓ 도심 16.1km/ℓ, 고속 16.2km/ℓ",97g/km,"4,970mm / 1,870mm","1,470mm / 2,855mm","1,612mm / 1,620mm","1,680kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 전륜 구동,자동6단,,,,,,,,,,,,
305,2016 아슬란 ,V6 3.0,자연흡기,가솔린,"2,999cc",270hp,31.6kg.m,"복합 9.5km/ℓ 도심 8.1km/ℓ, 고속 11.8km/ℓ",188g/km,"4,970mm / 1,860mm","1,470mm / 2,845mm","1,606mm / 1,607mm","1,670kg",245mm / 45 / 18inch,245mm / 45 / 18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V 디스크,디스크,랙 앤 피니언,,,,,,,
306,2018 모하비,V6,싱글터보,디젤,"2,959cc",260hp,57.1kg.m,"복합 9.8~10.3km/ℓ 도심 8.6~9km/ℓ, 고속 11.8~12.3km/ℓ",190~200g/km,"4,930mm / 1,915mm","1,810mm / 2,895mm","1,615mm / 1,625mm","2,115~2,285kg",265mm / 60 / 18inch,265mm / 60 / 18inch,"앞엔진 후륜 구동, 사륜 구동, 상시사륜 구동",자동8단,더블 위시본,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
307,2008 아반떼,1.6 VGT,,디젤,"1,582cc",117hp,26.5kg.m,"복합 16.5~21km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,505mm / 1,775mm","1,480mm / 2,650mm","1,530~1,545mm / 1,525~1,540mm","1,274~1,280kg",185~205mm / 55~65 / 15~16inch,185~205mm / 55~65 / 15~16inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,멀티링크 코일스프링,V디스크,디스크,랙 앤 피니언,,,,,,,
308,2024 아이오닉 5 N,,,전기,,,,"복합 3.7km/kWh 도심 4km/kWh, 고속 3.4km/kWh",,"4,715mm / 1,940mm","1,585mm / 3,000mm","1,667mm / 1,672mm","2,200kg",275mm / 35 / 21inch,275mm / 35 / 21inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),351km,84kWh,리튬 이온,,
309,2015 벨로스터,I4 직분사,자연흡기,가솔린,"1,591cc",140hp,17kg.m,"복합 12.4~13.3km/ℓ 도심 11.4~12.2km/ℓ, 고속 13.9~15.2km/ℓ",129~140g/km,"4,220mm / 1,790mm","1,400mm / 2,650mm","1,564mm / 1,574mm","1,225~1,250kg",215mm / 45 / 17inch,215mm / 45 / 17inch,앞엔진 전륜 구동,"수동6단, 자동6단, DCT6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,
310,2000 싼타모 플러스,L8CP,,LPG,"1,997cc",86hp,16.5kg.m,"복합 9.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,630mm / 1,740mm","1,630mm / 2,720mm","1,470mm / 1,470mm","1,400kg",205mm / 70 / 14inch,205mm / 70 / 14inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,세미 트레일링 암,V디스크,드럼,랙 앤 피니언,,,,,,,
